BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2021-12-17,iПозитив,POSI,17549,417228088.4,770.0,700.0,1238.2,994.8,904.4,994.8,461323,904.4,904.4,994.8,417228088.4,417228088.4,417228088.4,0,3,0.0
TQBR,2021-12-20,iПозитив,POSI,10910,168556342.4,1000.0,960.0,1043.0,980.0,1006.0,980.0,167540,1006.0,1006.0,980.0,168556342.4,168556342.4,168556342.4,0,3,-0.0148773622838761
TQBR,2021-12-21,iПозитив,POSI,5831,62052819.6,999.4,920.0,1000.0,922.4,944.4,922.4,65707,944.4,944.4,922.4,62052819.6,62052819.6,62052819.6,0,3,-0.0587755102040816
TQBR,2021-12-22,iПозитив,POSI,12303,147415158.0,945.0,828.0,945.0,915.0,872.8,915.0,168904,872.8,872.8,915.0,147415158.0,147415158.0,147415158.0,0,3,-0.0080225498699045
TQBR,2021-12-23,iПозитив,POSI,2729,24075582.0,916.0,870.2,944.0,904.0,896.2,904.0,26867,896.2,896.2,904.0,24075582.0,24075582.0,24075582.0,0,3,-0.0120218579234972
TQBR,2021-12-24,iПозитив,POSI,2339,16387951.8,910.2,884.0,928.8,896.2,899.4,896.2,18220,899.4,899.4,896.2,16387951.8,16387951.8,16387951.8,0,3,-0.0086283185840707
TQBR,2021-12-27,iПозитив,POSI,3248,26194398.4,917.6,870.0,917.6,875.8,876.6,875.8,29883,876.6,876.6,875.8,26194398.4,26194398.4,26194398.4,0,3,-0.0227627761660344
TQBR,2021-12-28,iПозитив,POSI,2058,17407099.2,887.0,872.0,898.0,876.0,875.4,876.0,19887,875.4,875.4,876.0,17407099.2,17407099.2,17407099.2,0,3,0.0002283626398721
TQBR,2021-12-29,iПозитив,POSI,2386,14760329.8,876.0,851.0,889.6,859.4,860.6,859.4,17153,860.6,860.6,859.4,14760329.8,14760329.8,14760329.8,0,3,-0.0189497716894977
TQBR,2021-12-30,iПозитив,POSI,3357,25951755.2,865.0,835.2,868.8,840.0,845.6,840.0,30692,845.6,845.6,840.0,25951755.2,25951755.2,25951755.2,0,3,-0.0225738887595996
TQBR,2022-01-03,iПозитив,POSI,2576,17883791.6,862.8,845.0,868.8,849.4,851.6,849.4,21000,851.6,851.6,849.4,17883791.6,17883791.6,17883791.6,0,3,0.0111904761904761
TQBR,2022-01-04,iПозитив,POSI,3176,21029879.0,859.2,837.2,859.4,844.6,843.6,844.0,24930,843.6,843.6,844.6,21029879.0,21029879.0,21029879.0,0,3,-0.0063574287732516
TQBR,2022-01-05,iПозитив,POSI,1554,9999754.8,848.2,835.2,848.2,838.0,839.6,838.0,11910,839.6,839.6,838.0,9999754.8,9999754.8,9999754.8,0,3,-0.0071090047393364
TQBR,2022-01-06,iПозитив,POSI,2152,11895072.2,840.0,820.0,844.6,830.0,835.2,830.0,14241,835.2,835.2,830.0,11895072.2,11895072.2,11895072.2,0,3,-0.0095465393794749
